label	level1	level2	level3	description	example
PS_NAME	PS	PS_NAME		실존/비실존 인물의 이름, 별칭, 인터넷 사용자명	흥선대원군, 아이유, 단군, 제우스, 돌부처, 쯔양, sojujsh
PS_CHARACTER	PS	PS_CHARACTER		가상 캐릭터의 이름, 작품 속 등장인물의 이름	뽀로로, 루피, 심슨, 엘사, 어피치, 라이언, 무지, 해리 포터, 유시진, 제임스 본드
PS_PET	PS	PS_PET		반려동물의 이름	뽀삐, 쿠키, 탄이, 절미, 달리, 김또또, 이뭉치
FD_SCIENCE	FD	FD_SCIENCE		과학 학문 분야 및 학파(자연과학과 공학만으로 한정)	물리학, 생명과학, 수학, 기계공학, 수의학, 자동차공학, 전기공학
FD_SOCIAL_SCIENCE	FD	FD_SOCIAL_SCIENCE		사회과학 학문 분야 및 학파(정치/경제/사회와 관련된 분야	인류학, 사회학, 경제학, 정치학, 심리학/고전학파, 신고전학파
FD_MEDICINE	FD	FD_MEDICINE		의학 관련 학문 분야 및 분과	의학, 병리학, 보건의료학, 신경과학/비뇨기과, 신경과, 내과
FD_ART	FD	FD_ART		예술 관련 학문 분야 및 학파	문예학, 음악사학, 미술사학, 공연예술학/인상파, 점묘파, 신경향파
FD_HUMANITIES	FD	FD_HUMANITIES		인문학 관련 학문 분야 및 학파	언어학, 철학, 국어국문학, 독어독문학/구조주의 언어학파, 아날학파
FD_OTHERS	FD	FD_OTHERS		기타 학문 분야 및 학파	농학, 군사학, 가정학, 건강과학, 박물관학 등
TR_SCIENCE	TR	TR_SCIENCE		과학 관련 이론/법칙/방식/양식/체계/학설	21세기형수학공식, 이진법, 원심분리법, 기체확산법
TR_SOCIAL_SCIENCE	TR	TR_SOCIAL_SCIENCE		사회과학 이론/법칙/방법/원리/사상, 정치사상	민주주의, 공산주의, 노동가치설, 대화법, 법치주의, 평등주의
TR_MEDICINE	TR	TR_MEDICINE		의학 요법/처방, 의학 진단법	인공호흡, 요혈자극법, 바이오피드백
TR_ART	TR	TR_ART		예술 관련 이론/법칙/방식/양식, 예술 사조	고딕양식, 고전주의, 몽타주, 오마주, 클로즈업 샷, 루즈샷, 다다이즘
TR_HUMANITIES	TR	TR_HUMANITIES		철학, 언어, 역사 이론/사상	주지주의, 구조주의, 이기론, 관념론, 니힐리즘, 이데아설
TR_OTHERS	TR	TR_OTHERS		기타 이론/법칙/원리	샤머니즘, 원칙주의
AF_BUILDING	AF	AF_BUILDING		건축물/토목건설물, 운동장, 아파트, 다리, 등대, 분수 등의 명칭	대한생명 63빌딩, 동대문운동장, 서해대교, 롯데월드타워
AF_CULTURAL_ASSET	AF	AF_CULTURAL_ASSET		건축물, 고분, 사찰 등의 문화재 명칭	숭례문, 천마총, 불국사, 서울 원각사지 십층석탑, 에펠탑, 미디 운하
AF_ROAD	AF	AF_ROAD		도로/철로 명칭	세종로, 올림픽대로, 삼성로1길, 충북선, 경부선
AF_TRANSPORT	AF	AF_TRANSPORT		교통수단/자동차/선박 모델 및 유형, 운송수단, 놀이기구	갈라테아호, 경비정, 벤츠, 자기부상열차
AF_MUSICAL_INSTRUMENT	AF	AF_MUSICAL_INSTRUMENT		악기 명칭	기타, 캐스터네츠, 편경, 꽹과리, 대금, 해금
